ds,holiday
2020-01-01,Новый год
2020-01-07,Рождество Христово
2020-02-23,День защитника Отечества
2020-03-08,Международный женский день
2020-05-01,Праздник Весны и Труда
2020-05-08,Предпраздничный
2020-05-09,День Победы
2020-06-11,Предпраздничный
2020-06-12,День России
2020-11-03,Предпраздничный
2020-11-04,День народного единства
2020-12-31,Предпраздничный
2021-01-01,Новый год
2021-01-07,Рождество Христово
2021-02-20,Предпраздничный
2021-02-23,День защитника Отечества
2021-03-08,Международный женский день
2021-04-30,Предпраздничный
2021-05-01,Праздник Весны и Труда
2021-05-09,День Победы
2021-06-11,Предпраздничный
2021-06-12,День России
2021-11-04,День народного единства
2022-01-01,Новый год
2022-01-07,Рождество Христово
2022-02-22,Предпраздничный
2022-02-23,День защитника Отечества
2022-03-05,Предпраздничный
2022-03-08,Международный женский день
2022-05-01,Праздник Весны и Труда
2022-05-09,День Победы
2022-06-12,День России
2022-11-03,Предпраздничный
2022-11-04,День народного единства
2023-01-01,Новый год
2023-01-07,Рождество Христово
2023-02-22,Предпраздничный
2023-02-23,День защитника Отечества
2023-03-07,Предпраздничный
2023-03-08,Международный женский день
2023-05-01,Праздник Весны и Труда
2023-05-09,День Победы
2023-06-12,День России
2023-11-03,Предпраздничный
2023-11-04,День народного единства
2024-01-01,Новый год
2024-01-07,Рождество Христово
2024-02-22,Предпраздничный
2024-02-23,День защитника Отечества
2024-03-07,Предпраздничный
2024-03-08,Международный женский день
2024-05-01,Праздник Весны и Труда
2024-05-08,Предпраздничный
2024-05-09,День Победы
2024-06-11,Предпраздничный
2024-06-12,День России
2024-11-02,Предпраздничный
2024-11-04,День народного единства
2025-01-01,Новый год
2025-01-07,Рождество Христово
2025-02-23,День защитника Отечества
2025-03-07,Предпраздничный
2025-03-08,Международный женский день
2025-04-30,Предпраздничный
2025-05-01,Праздник Весны и Труда
2025-05-09,День Победы
2025-06-11,Предпраздничный
2025-06-12,День России
2025-11-01,Предпраздничный
2025-11-04,День народного единства
2026-01-01,Новый год
2026-01-07,Рождество Христово
2026-02-23,День защитника Отечества
2026-03-08,Международный женский день
2026-05-01,Праздник Весны и Труда
2026-05-09,День Победы
2026-06-12,День России
2026-11-04,День народного единства
2027-01-01,Новый год
2027-01-07,Рождество Христово
2027-02-23,День защитника Отечества
2027-03-08,Международный женский день
2027-05-01,Праздник Весны и Труда
2027-05-09,День Победы
2027-06-12,День России
2027-11-04,День народного единства
